full_name,sm_axis,eccentricity,inclination,longitude,arg_perihelion,dist_perihelion,dist_aphelion,orb_period,data_arc,albedo,rot_per,spec_B,spec_T,moid,diameter,size
Pallas,2.772465922,0.230336821,34.83623442,173.0800627,310.0488574,2.133864935,3.411066909,4.616443528,72318,0.101,7.8132,B,B,1.23324,545,LARGE
Bettina,3.142700416,0.135085089,12.82049613,23.82498524,76.08572654,2.718168449,3.567232383,5.571378666,48928,0.112,5.0545,Xk,M,1.77023,120.995,LARGE
Ingeborg (1894 BE),2.32018549,0.305420605,23.20080611,212.872769,147.0475348,1.611553034,3.028817945,3.534209271,45453,0.29,26.391,S,S,0.644475,15.751,SMALL
Padua (1893 S),2.747942057,0.071023064,5.947000862,64.74705521,296.1980118,2.552774792,2.943109322,4.555327009,46647,0.059,8.401,X,XC,1.55616,97,LARGE
Eos,3.010967444,0.104278175,10.87905291,141.8202009,192.9950612,2.696989254,3.324945634,5.224771382,48869,0.166,10.443,K,S,1.68681,95.469,LARGE
Philomela,3.113336496,0.015906516,7.263022248,72.32192847,199.751591,3.063814158,3.162858834,5.49347682,51225,0.342,8.334,S,S,2.04839,144.626,LARGE
Marghanna (1912 PY),2.729290692,0.321653289,16.87902042,42.98415494,309.8283454,1.851405365,3.607176019,4.509027597,38964,0.059,20.62,Ch,C,0.893386,67.976,SMALL
Cybele,3.425952865,0.111942943,3.563530794,155.6163089,102.6307566,3.042441618,3.809464112,6.341328882,57769,0.0706,6.0814,Xc,P,2.02972,237.26,LARGE
Clorinde,2.340028261,0.080369273,9.032814942,144.9000461,296.6478825,2.151961891,2.528094632,3.579644152,44131,0.0502,6.42,B,BFU,1.18504,39.03,SMALL
Vienna (1894 BM),2.63502363,0.247396451,12.8631462,227.9257319,140.1184399,1.983128137,3.286919124,4.277450314,44030,0.139,15.48,K,S,1.00115,49.032,SMALL
Arizona (1907 ZD),2.794530912,0.12532294,15.78797046,36.05275251,308.644779,2.444312083,3.144749742,4.671663783,41037,0.196,7.399,S,DU,1.47097,26.636,SMALL
Peraga (1905 PS),2.374422896,0.153318145,2.934718906,295.4199283,127.2237729,2.010380782,2.738465011,3.658855932,44903,0.0496,13.7128,Ch,FC,1.02485,95.87,LARGE
Interamnia (1910 KU),3.057946077,0.154658313,17.30973931,280.2846658,94.98290303,2.585009297,3.530882858,5.347526392,39658,0.078,8.727,B,F,1.65737,306.313,LARGE
Tinette (1909 HG),2.720867888,0.272652741,14.87941729,334.3381201,52.80916705,1.9790158,3.462719977,4.488170894,36776,0.079,7.3962,X,X,1.0168,21.533,SMALL
Hestia,2.525788446,0.172002218,2.349673628,181.0874776,177.4171769,2.091347232,2.960229659,4.014243017,56621,0.046,21.04,Xc,P,1.08671,112.414,LARGE
Pogson (1968 HA),2.188423661,0.056311527,3.95403862,147.4541476,334.9593477,2.065190182,2.31165714,3.237466661,33986,0.274,2.56999,S,S,1.08174,7.71,SMALL
Chloris (1896 CH),2.724259913,0.242386933,10.96656888,96.93169674,172.8561241,2.063934907,3.38458492,4.496566413,41402,0.044,32.5,Ch,C,1.04775,116.245,LARGE
Io,2.651765384,0.194545765,11.96206292,203.1135422,123.0324743,2.135875659,3.16765511,4.318280487,56114,0.0666,6.875,B,FC,1.1514,154.79,LARGE
Antinous (1948 EA),2.258732647,0.606567807,18.40010586,346.4438822,268.0619559,0.88865814,3.628807154,3.394731622,26010,0.24,7.453,Sq,SU,0.182839,2.1,SMALL
Montefiore (1914 UK),2.179954643,0.038826461,5.261485196,80.47400909,81.05026115,2.095314719,2.264594567,3.218691764,37786,0.224,4.0728,Sl,S,1.11094,14.158,SMALL
Sara (1904 NZ),2.978332503,0.045373577,6.556866565,180.3202008,32.73099023,2.843194903,3.113470103,5.14005746,43009,0.252,11.654,S,S,1.84049,30.819,SMALL
Libussa,2.796852458,0.137092132,10.42520404,49.59925573,340.5995305,2.41342599,3.180278926,4.677486442,46052,0.187,9.2276,S,S,1.42165,62.969,SMALL
Hera,2.701656653,0.079198729,5.418388037,136.083601,188.4790101,2.487688881,2.915624426,4.440720449,54091,0.217,23.74,S,S,1.47464,83.908,LARGE
Aline,2.807292039,0.15392114,13.40304719,235.8611015,151.278485,2.375190449,3.239393629,4.703699768,46886,0.059,13.018,Ch,C,1.38951,109.494,LARGE
Hygiea,3.141539179,0.112460658,3.831560034,283.2021669,312.3152062,2.788239617,3.494838741,5.56829099,62175,0.0717,27.63,C,C,1.77839,407.12,LARGE
Suleika (1905 QK),2.712400825,0.235806334,10.2430078,85.18645459,336.9407839,2.072799529,3.352002121,4.467237106,40837,0.2477,5.69,Sl,S,1.09018,53.29,SMALL
Pythia (1897 DO),2.36865592,0.146156338,12.12223089,88.74995129,174.1582106,2.022461846,2.714849995,3.645534137,43329,0.2338,8.252,S,S,1.00665,46.9,SMALL
Atala,3.13710755,0.080779996,12.12480521,39.89780578,59.37311987,2.883692015,3.390523085,5.556512736,41813,0.257,6.246,S,I,1.92246,58.964,SMALL
Brangane (1906 VB),2.587226666,0.220158237,8.599496516,318.4746996,58.39151161,2.017627404,3.156825928,4.161596029,41243,0.096,12.295,K,TSD,1.03284,35.758,SMALL
Irma,2.774364874,0.234236962,1.381173186,347.1038213,38.95708847,2.124506075,3.424223673,4.621187268,43396,0.061,13.856,Ch,C,1.12827,69.049,SMALL
Alauda (1910 KQ),3.192326708,0.017244087,20.60222861,289.7455228,350.7679759,3.13727795,3.247375467,5.703864493,39848,0.061,8.3531,B,C,2.1208,190.98,LARGE
Dido,3.147456337,0.056376372,7.170143732,0.668720586,249.2126046,2.970014168,3.324898507,5.584030393,51067,0.028,5.7366,Xc,C,1.96638,179.008,LARGE
Fides,2.642283306,0.175605168,3.070811194,7.269127306,62.84345783,2.178284701,3.10628191,4.295139499,59849,0.1826,7.3335,S,S,1.19442,108.35,LARGE
Dike,2.665704208,0.195003231,13.84727294,41.52310421,195.6087757,2.145883275,3.18552514,4.352373311,38098,0.065,18.127,Xk,C,1.13799,67.354,SMALL
Sequoia (1928 VB),1.933918964,0.094503517,17.90117882,267.6416641,77.70686752,1.75115682,2.116681107,2.689463226,33105,0.384,3.03784,Xk,E,0.811874,6.692,SMALL
Felicitas,2.696073711,0.298888898,7.842543567,2.800725171,57.45136516,1.890247211,3.501900211,4.426962517,54735,0.056,13.191,Ch,GC,0.915348,82.588,LARGE
Vesta,2.361417896,0.08872146,7.141770812,103.8108044,150.7285413,2.151909454,2.570926338,3.628837138,24288,0.4228,5.34212766,V,V,1.13948,525.4,LARGE
Ampella,2.459168421,0.2269016,9.321124057,268.2600905,89.14961486,1.901179172,3.01715767,3.856475815,44068,0.268,10.379,S,S,0.923875,54.323,SMALL
Dembowska (1892 T),2.922609832,0.091589077,8.246177556,32.3419436,345.7586208,2.654930693,3.19028897,4.99648357,46161,0.384,4.701,R,R,1.65738,139.77,LARGE
Tanina (1916 ZL),2.225774462,0.074927512,3.399608699,101.4088731,111.7862776,2.05900272,2.392546204,3.320702238,41942,0.275,6.94,S,SR,1.05521,13.423,SMALL
Barcelona (1921 JB),2.635655459,0.163120322,32.88942721,318.2862589,161.9735263,2.205726493,3.065584426,4.278988884,34967,0.239,7.36,Sq,S,1.23024,25.618,SMALL
Hedda,2.283614903,0.028948503,3.803286447,29.20564124,194.0498501,2.217507671,2.349722135,3.450980499,50015,0.058,30.098,Ch,C,1.20835,57.88,SMALL
Brunhild,2.694897611,0.120489801,6.41386411,307.7305945,125.776462,2.370189935,3.019605287,4.424066092,53708,0.261,9.873,S,S,1.39196,45.209,SMALL
Rosselia (1934 TA),2.856659933,0.089478657,2.939299041,139.5425882,237.4409584,2.601049839,3.112270027,4.828319688,32829,0.199,8.14,Sa,S,1.60295,20.822,SMALL
Palma (1893 AH),3.150140554,0.258991758,23.82595627,327.3569989,115.5748777,2.334280115,3.966000993,5.591175183,45875,0.059,8.567,B,BFC,1.44687,173.642,LARGE
Nerthus (1906 UN),3.135265879,0.103678985,16.14267983,169.5639783,160.0865217,2.810204696,3.460327063,5.551620444,41178,0.043,13.59,C,X,1.80476,75.535,LARGE
Germania,3.049875422,0.102761153,5.505041521,270.3456212,80.47660197,2.736466706,3.363284138,5.326370255,49111,0.0575,15.51,B,CP,1.73651,168.9,LARGE
Eugenia,2.720882627,0.084438374,6.603526586,147.6084202,88.16801954,2.491135721,2.950629533,4.488207362,55867,0.045,5.699,C,FC,1.4906,202.327,LARGE
Adria,2.760357227,0.074406082,11.44456922,332.9838357,252.3961036,2.55496986,2.965744594,4.586233223,50898,0.044,22.005,Xc,C,1.57591,95.377,LARGE
Belgica (1925 VD),2.23600219,0.143545542,4.697051299,99.57656419,297.9476126,1.915034043,2.556970337,3.343617112,40500,0.301,2.7097,S,S,0.927362,9.785,SMALL
Zeelandia (1934 RW),2.849078761,0.065217036,3.197494882,97.42144771,219.7675518,2.663270289,3.034887234,4.80911193,41568,0.232,15.602,S,S,1.64977,21.441,SMALL
Nemesis,2.749885199,0.127406598,6.245447183,76.24209972,303.742818,2.399531682,3.100238716,4.560159651,53492,0.067,77.81,C,C,1.40859,162.515,LARGE
Tauris (1916 YT),3.153396206,0.307204513,21.82385571,88.78421335,296.6646568,2.184658659,4.122133753,5.599845093,37723,0.054,35.8,C,C,1.27916,102.229,LARGE
Rebekka (1905 RB),2.400130093,0.157620484,10.57900376,194.5621167,191.9357155,2.021820427,2.77843976,3.718436553,41605,0.089,5.6497,C,XDC,1.0259,28.903,SMALL
Luscinia (1911 LS),3.403631887,0.15657125,10.34748192,217.5524417,137.6458997,2.870720987,3.936542786,6.27945681,39568,0.048,9.9143,C,C,1.87691,97.968,LARGE
Libera (1913 TO),2.653594415,0.247338011,14.92813787,218.1877988,227.5850022,1.99725965,3.309929181,4.322749,38614,0.123,5.892,X,X,1.04207,29.322,SMALL
Hilda,3.979617339,0.140235077,7.826107947,228.1466125,38.88490484,3.421535393,4.537699285,7.939079921,45312,0.0618,5.957,X,P,2.41041,170.63,LARGE
Turnera (1929 PL),3.02115403,0.100796382,10.75102849,42.98232427,295.7886687,2.716632635,3.325675425,5.251308154,32888,0.24,12.085,Sq,S,1.72969,34.29,SMALL
Sigrid (1938 QB),2.429922432,0.201136744,2.57715295,330.5627574,1.717392086,1.941175746,2.918669118,3.787885282,40334,0.034,43.296,Xc,F,0.929813,28.905,SMALL
Glauke,2.761785978,0.205392632,4.336077409,120.1104622,84.98538108,2.194535488,3.329036468,4.58979441,46744,0.175,1170,S,S,1.19619,28.981,SMALL
Nansenia (1916 S28),2.312128336,0.105634927,9.215311267,182.8445446,59.64595745,2.067886828,2.556369845,3.515815744,36196,0.051,7.931,Ch,XD,1.0737,27.593,SMALL
Wright (1947 NH),1.70904455,0.110367871,21.41807915,268.3828492,340.3585712,1.520420941,1.897668159,2.234283497,26334,0.2005,5.2896,Sl,AU,0.510856,6.35,SMALL
Brixia (1904 NB),2.740566381,0.281620778,10.59746138,89.64836086,316.0284406,1.968765945,3.512366816,4.536999078,42223,0.073,28.479,Ch,C,0.993845,107.227,LARGE
Sophrosyne,2.562751519,0.116569377,11.60092878,345.9774301,84.52008651,2.264013171,2.861489867,4.102682904,51742,0.0364,17.196,Ch,C,1.31245,108,LARGE
Vera,3.096343736,0.196465365,5.178865262,61.06712813,331.5412507,2.488019436,3.704668037,5.448562703,49108,0.228,14.38,S,S,1.49521,75.949,LARGE
Kalahari (A924 NC),2.855364457,0.144084736,9.96588633,103.8765118,242.0403174,2.443950023,3.266778891,4.825035646,25876,0.065,21.153,L,D,1.45389,34.645,SMALL
Arsinoe (1895 BY),2.594236557,0.198651728,14.10530435,92.59417386,120.5753546,2.078886982,3.109586132,4.178520766,43811,0.037,8.887,Ch,C,1.10866,94.97,LARGE
Clara (1907 ZY),3.197463736,0.122714914,8.149713475,5.747527067,119.3719486,2.805087248,3.589840225,5.717637846,40884,0.1617,8.2308,L,S,1.83185,33.36,SMALL
Aeternitas (1899 ER),2.788538957,0.126776591,10.62230756,42.0844718,278.8767521,2.435017493,3.142060421,4.656646564,43759,0.317,15.7413,A,A,1.45034,53.562,SMALL
Aten (1976 AA),0.966789832,0.182717134,18.93368681,108.6003764,148.0354056,0.790140764,1.143438899,0.950618613,21601,0.26,40.77,Sr,S,0.113146,1.1,SMALL
Lohja (1942 GD),2.421757215,0.196278143,3.302693765,10.92670073,229.5884139,1.946419206,2.897095225,3.768808804,28254,0.281,3.8084,A,A,0.935972,10.218,SMALL
Urda,2.852400704,0.037354397,2.212657605,166.2140504,132.8562333,2.745850996,2.958950412,4.817525307,49350,0.223,13.07,Sk,S,1.73003,39.935,SMALL
Gisela (1893 B),2.194086494,0.149678476,3.384806303,247.2830104,144.6816823,1.865678971,2.522494016,3.25004084,46052,0.195,7.49,Sl,S,0.872211,26.744,SMALL
Honoria,2.797464142,0.190826197,7.694642611,185.8491804,174.6963968,2.263634698,3.331293585,4.679021005,49319,0.156,12.336,L,S,1.25993,77.708,LARGE
Roberta (1892 C),2.474842107,0.172777242,5.101117079,148.4399461,140.0665001,2.047245712,2.902438502,3.893403788,46271,0.049,12.054,B,FP,1.03348,97.109,LARGE
Doris,3.110088095,0.072443887,6.54741666,183.5539793,253.0539188,2.884781226,3.335394964,5.484881365,58146,0.065,11.89,Ch,CG,1.90839,216.473,LARGE
Eukrate,2.740643849,0.245009716,24.95242591,0.060585577,55.38193948,2.069159478,3.412128219,4.537191451,49092,0.064,12.093,Xc,CP,1.15489,130.935,LARGE
Nemausa,2.36583537,0.067559357,9.977178479,175.9784967,2.580537646,2.206001055,2.525669686,3.639024528,56958,0.105,7.783,Ch,CU,1.21015,138.159,LARGE
Parthenope,2.453109376,0.100472272,4.629885838,125.5465868,195.5503938,2.206639904,2.699578848,3.842231878,61699,0.191,13.7204,Sk,S,1.19322,142.887,LARGE
Massalia,2.409781792,0.142066705,0.708751203,206.1089109,256.7731964,2.067432032,2.752131551,3.740888639,59461,0.241,8.098,S,S,1.08461,135.68,LARGE
Alexandra,2.710377899,0.197338954,11.79829754,313.2523821,344.9589216,2.175514761,3.245241038,4.462240497,56810,0.041,7.024,C,C,1.16147,154.137,LARGE
Polyhymnia,2.87345553,0.331346295,1.852843675,8.466365462,338.3718433,1.921346687,3.825564373,4.870964033,59639,0.24,18.608,Sq,S,0.913808,52.929,SMALL
Thyra,2.379582469,0.193102626,11.59296381,308.79566,97.14189804,1.920078845,2.839086093,3.670788338,53383,0.2747,7.241,S,S,0.969638,79.83,LARGE
Erigone,2.367336249,0.191409912,4.814140691,160.0618177,298.6514787,1.914204626,2.820467872,3.642487956,46363,0.027,16.136,Ch,C,0.936616,69.389,SMALL
Geometria (1893 AM),2.288772727,0.172103868,5.432401406,301.9867859,316.7988326,1.894866087,2.682679367,3.462678792,43875,0.321,7.74,Sl,S,0.883498,35.465,SMALL
Ianthe,2.687760366,0.186754373,15.57151841,353.9207068,158.725461,2.185809364,3.189711367,4.406502495,54363,0.029,16.479,Ch,CG,1.20184,132.788,LARGE
Cyane (1895 BX),2.808746772,0.09813677,9.158848974,244.3578096,254.9881815,2.533105435,3.084388109,4.707356413,45375,0.173,12.283,S,S,1.56608,53.574,SMALL
Althaea,2.581258245,0.08045542,5.786176717,203.654022,171.3465661,2.373582028,2.788934462,4.147203885,53819,0.2306,11.484,Sl,S,1.37392,57.3,SMALL
Kythera (1905 QX),3.42175855,0.118542263,1.817006769,223.3642211,160.8501742,3.016135548,3.827381552,6.329687132,41660,0.069,8.12,T,ST,2.01916,87.486,LARGE
Vanadis,2.663769291,0.207570494,2.105523248,115.0691192,300.9987553,2.110849383,3.2166892,4.347635379,49291,0.057,10.64,C,C,1.12324,87.928,LARGE
Garumna,2.722264503,0.16672811,0.86733954,311.8694367,176.2069342,2.268386488,3.176142517,4.491626987,36648,0.242,23.866,Sq,S,1.28384,23.44,SMALL
Iolanda (1903 LR),3.064082396,0.095456504,15.40821033,217.5394214,157.5796952,2.771595802,3.35656899,5.363630626,42375,0.253,12.306,S,S,1.77973,51.892,SMALL
Anacostia (1921 W19),2.738805013,0.203124416,15.90841394,285.8104489,69.98025916,2.182486844,3.295123182,4.532625872,32898,0.229,20.117,L,SU,1.23211,74.679,LARGE
Hungaria (1898 DR),1.944104209,0.073742397,22.50883957,175.3209546,124.031963,1.800741305,2.087467113,2.710737808,44070,0.726,26.521,Xe,E,0.833343,8.934,SMALL
Andromache,3.182769242,0.23306463,3.218737088,21.3373656,320.2304055,2.440978305,3.924560179,5.678268583,51716,0.094,8.324,Cg,C,1.43308,94.532,LARGE
Ceres,2.769165155,0.076009029,10.59406704,80.30553157,73.59769412,2.5586836,2.979646709,4.608201802,8822,0.09,9.07417,C,G,1.59478,939.4,LARGE
Klytaemnestra,2.976110849,0.111457967,7.820759663,251.8829484,103.307387,2.644399584,3.307822114,5.134307278,44018,0.198,11.173,Sk,S,1.65329,69.946,SMALL
Iphigenia,2.433981119,0.127700984,2.599053276,323.4144081,17.30026913,2.123159335,2.744802903,3.797379571,54221,0.042,31.466,Ch,DCX,1.11377,69.818,SMALL
Ariadne,2.203475093,0.168321879,3.471397138,264.8102007,16.27152565,1.832582025,2.574368161,3.270923756,56486,0.234,5.76218,Sk,S,0.81586,71.34,SMALL
Messalina (1904 OY),3.202996246,0.169645376,11.20185527,333.6160191,330.8662616,2.659622743,3.74636975,5.732483942,41830,0.041,7.2,Cb,CD,1.65067,112.631,LARGE
Leukothea,2.994071835,0.225588162,7.932713103,353.7389409,213.3967316,2.318644673,3.669498998,5.180856057,58229,0.066,31.9,C,C,1.31998,103.055,LARGE
Eliane (1933 FL),2.616751135,0.172768936,14.46896305,132.0094459,164.7710957,2.164657826,3.068844444,4.233034754,31554,0.149,106,S,S,1.15143,19.467,SMALL
Ganymed (1924 TD),2.664145333,0.533234731,26.68761299,215.5575047,132.3963556,1.243530512,4.084760154,4.348556039,34631,0.238,10.297,S,S,0.343497,37.675,SMALL
Laurentia,3.016771819,0.180768593,6.091204383,35.48889147,116.0382607,2.471434223,3.562109414,5.239886692,42872,0.051,11.8686,Ch,STU,1.48985,97.021,LARGE
Vernadskij (1978 QW2),2.428773257,0.180429612,2.474094771,357.2161021,348.3874937,1.99055064,2.866995874,3.785198511,25327,0.037,7.919,B,BFX,0.982494,12.014,SMALL
Centesima (1903 LY),3.013883468,0.083894654,9.732480814,184.4470589,226.0420993,2.761034758,3.266732178,5.232363249,42367,0.089,5.23,K,S,1.77973,48.805,SMALL
Francette (1931 XC),3.951409295,0.190826296,7.590819148,149.5588971,348.3013847,3.197376497,4.705442093,7.854819831,31937,0.046,22.433,X,P,2.2118,76.395,LARGE
Thule,4.283402229,0.04013378,2.335777723,71.96663026,23.16865387,4.111493108,4.45531135,8.865260259,47005,0.0412,23.896,X,D,3.12849,126.59,LARGE
Olga,2.403604099,0.221607224,15.84561971,159.0305987,172.2867179,1.870948067,2.936260131,3.726512705,46925,0.047,18.36,Xc,C,0.861074,65.99,SMALL
Istria,2.790981914,0.350495625,26.38797252,141.9401491,264.1196249,1.812754963,3.769208864,4.662767229,41452,0.227,11.77,S,S,1.00951,32.927,SMALL
Toni (1919 GC),2.94143674,0.153509741,8.981544226,150.2235188,219.6112029,2.489897547,3.392975932,5.044840863,41485,0.0432,19.437,X,CX,1.49522,85.49,LARGE
Hedwig (1901 GQ),2.650767958,0.072485601,10.92618377,286.3415554,0.897329736,2.458625451,2.842910466,4.315844322,42971,0.035,27.33,X,P,1.4416,138.493,LARGE
Flammario (1924 RG),2.736281385,0.285455523,15.87074611,115.4377064,286.908693,1.955194752,3.517368018,4.526362543,34325,0.045,12.16,B,F,1.03017,100.765,LARGE
Polana,2.418900608,0.135215503,2.239119873,291.2201325,292.0148857,2.091827747,2.745973469,3.762142468,44342,0.047,9.764,B,F,1.08429,54.812,SMALL
Gallia,2.771509056,0.187050999,25.28888441,145.0073662,252.759478,2.253095518,3.289922594,4.614053812,51194,0.164,20.664,S,GU,1.37349,97.75,LARGE
Astraea,2.574248919,0.191094519,5.366987944,141.5766042,358.6876078,2.08232406,3.066173778,4.130322954,63431,0.274,16.806,S,S,1.09589,106.699,LARGE
Budrosa (1892 F),2.911311155,0.022217237,6.050031771,287.4230345,110.117441,2.846629865,2.975992444,4.967537323,46248,0.276,4.6084,Xk,M,1.86007,50.506,SMALL
Elpis,2.711836158,0.119291449,8.641685581,170.0264279,211.082394,2.388337294,3.035335022,4.465842196,57008,0.044,13.671,B,CP,1.39378,165.119,LARGE
Aglaja,2.881429415,0.129807267,4.975207886,3.081372987,314.6872969,2.507398936,3.255459894,4.891253597,58251,0.082,13.178,B,C,1.49661,168.174,LARGE
Alphonsina (1920 GM),2.702292159,0.079147276,21.08433209,299.5390685,202.0828625,2.488413095,2.916171224,4.442287416,42901,0.248,7.88,S,S,1.51095,57.505,SMALL
Iris,2.385333814,0.231205792,5.523651387,259.5632307,145.2651058,1.833830821,2.936836807,3.684104574,62452,0.2766,7.139,S,S,0.8461,199.83,LARGE
Amalthea,2.375661941,0.086922815,5.042972118,123.4516239,78.70826107,2.169162717,2.582161166,3.661720257,54214,0.224,9.95,S,S,1.17311,50.137,SMALL
Maja,2.646063567,0.172940539,3.045598953,7.50373979,43.98524876,2.188451907,3.103675227,4.30436025,57704,0.0618,9.73509,Ch,C,1.1999,71.82,SMALL
Misa (1905 QT),2.657419587,0.181247604,1.291435582,301.6872241,142.7757165,2.175768655,3.13907052,4.332099271,40054,0.0297,11.595,Cg,C,1.19204,72.95,LARGE
Angelina,2.681124846,0.125529427,1.309694153,309.1174768,178.8060575,2.344564781,3.01768491,4.390194468,57770,0.483,8.752,Xe,E,1.36002,58.292,SMALL
Artemis,2.373917361,0.177378504,21.44015559,188.2573466,57.03037251,1.952835452,2.79499927,3.65768749,42059,0.016,37.15506,Ch,C,1.01144,112.326,LARGE
Pax (1909 FY),2.588806476,0.309502086,24.39667458,112.125665,266.8722002,1.787565471,3.390047482,4.165408336,40380,0.11,8.452,K,I,0.962939,63.909,SMALL
Siegena (1894 AY),2.899545276,0.16874655,20.20969697,166.676968,220.3548486,2.410257014,3.388833537,4.93745379,45820,0.0692,9.763,C,C,1.44016,165.01,LARGE
Berenike (1907 BK),3.014321352,0.03960317,11.29158199,132.8484286,56.94495196,2.89494467,3.133698035,5.233503599,46137,0.085,12.4886,K,S,1.91635,49.793,SMALL
Georgia (1893 M),2.727222199,0.157433199,6.771862545,6.058243946,338.34423,2.297866883,3.156577515,4.50390257,42801,0.2621,5.537,X,CX,1.29141,43.89,SMALL
Lachesis,3.119512825,0.052227612,6.96164506,341.1739908,233.6346942,2.956588119,3.282437532,5.509832108,53686,0.058,46.551,C,C,1.95778,155.132,LARGE
Leda,2.739454926,0.154982525,6.970974749,295.720019,169.3124261,2.314887286,3.164022567,4.534239344,59638,0.055,12.838,Cgh,C,1.33232,92.255,LARGE
Hermione,3.451838969,0.131877319,7.597630696,73.12248427,297.9514819,2.996619698,3.907058239,6.413335995,53761,0.0482,5.55128,Ch,C,2.00636,209,LARGE
Hebe,2.42515999,0.203007109,14.7379011,138.6402028,239.8074902,1.93283527,2.917484709,3.776754838,62329,0.2679,7.2745,S,S,0.973965,185.18,LARGE
Christa (1924 QF),3.204708458,0.087481546,9.446387733,120.1505175,286.6410129,2.924355608,3.485061308,5.737081138,34892,0.048,11.23,Xc,C,1.95242,82.35,LARGE
Urania,2.365572137,0.127581,2.095743731,307.4686116,87.42620759,2.063770078,2.667374196,3.638417204,58087,0.192,13.686,Sl,S,1.0709,92.787,LARGE
Charybdis (1894 BA),3.003486445,0.065556026,6.446024191,354.2641546,332.6177201,2.80658981,3.20038308,5.205311414,45718,0.042,9.516,C,C,1.7964,125.754,LARGE
Iduna,3.181049532,0.170596918,22.67339465,200.4973042,188.5533956,2.638372285,3.723726778,5.673667091,51806,0.106,11.2877,Ch,G,1.64352,106.976,LARGE
Lampetia (1894 BG),2.77910151,0.330378967,14.87763633,212.4447138,90.6513723,1.860944824,3.697258195,4.633026854,42335,0.022,38.455,Xc,C,0.916795,96.89,LARGE
Antigone,2.868588387,0.212034728,12.26563052,135.6782803,111.2425859,2.26034803,3.476828744,4.858593403,42344,0.151,4.9572,X,M,1.28046,113,LARGE
Athalia (1903 ME),3.119868676,0.175392724,2.038494149,121.093737,300.332364,2.572666409,3.667070943,5.510774916,42331,0.039,10.636,Cb,I,1.58602,41.19,SMALL
Appenzella (1965 SA),2.449873006,0.179095133,3.254658282,12.35742145,20.14870804,2.011112675,2.888633337,3.834630842,28105,0.032,5.1839,C,F,1.0167,20.221,SMALL
Nanon (1905 QD),2.711723555,0.065787067,9.301365436,112.0682084,128.5033509,2.533327216,2.890119893,4.465564047,41803,0.05,10.059,Xk,C,1.53101,79.82,LARGE
Lumen,2.664283192,0.214850231,11.89775268,318.4958591,57.947417,2.091861333,3.236705051,4.348893574,51764,0.067,19.87,Ch,CPF,1.11774,117.916,LARGE
Nenetta,2.875996949,0.201247761,6.678775286,181.9524619,190.3378741,2.297209002,3.454784895,4.877427625,42748,0.889,6.902,A,A,1.29688,37.586,SMALL
Megaira (1901 FV),2.800234947,0.205535878,10.17000774,102.3661997,258.2826499,2.224686199,3.375783694,4.685974373,43220,0.045,12.726,C,FXU,1.24714,77.056,LARGE
Boliviana (1911 LO),2.574431174,0.187019284,12.76498779,230.8202509,181.4830564,2.0929629,3.055899449,4.130761598,39500,0.038,11.7426,X,C,1.10352,112.818,LARGE
Unitas,2.357924744,0.15079186,7.277329949,141.8654756,167.7898875,2.002368887,2.713480601,3.620788124,46809,0.201,8.736,S,S,0.98785,47.2,SMALL
Magellan (1985 DO2),1.82028778,0.326178853,23.25238269,164.8345161,154.3792142,1.2265484,2.41402716,2.455942998,12509,0.31,7.475,V,V,0.239016,2.49,SMALL
Camilla,3.491538544,0.065376898,9.999895107,172.5968079,306.5943524,3.263272586,3.719804503,6.524293102,54913,0.059,4.844,X,C,2.29158,254,LARGE
Burgundia (1893 AK),2.780097674,0.079668187,8.993765426,219.0158602,25.3383735,2.558612333,3.001583016,4.635518129,42269,0.3014,6.972,S,S,1.5492,44.67,SMALL
Vala,2.432107243,0.067523295,4.961348774,65.66034525,160.4478433,2.267883348,2.596331137,3.792995119,53226,0.246,5.1812,Xc,SU,1.2585,31.337,SMALL
Ostro (1981 LA),1.891867903,0.066816924,24.90716511,96.37205657,32.46101423,1.765459109,2.018276698,2.602222431,23873,0.96,6.503,Xe,TS,0.79621,4.662,SMALL
